Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
TypeOfAccess,CodeValueType,0,1,"The type of data access condition. The use of a controlled vocabulary is strongly recommended. ",,,,,,,,,,,ddi:archive:3_3,e,
AccessTypeName,langString,0,n,"A name by which the description of access is known.",,,,,,,,,,,ddi:archive:3_3,e,
Label,langString,0,n,"A display label for the description of access.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,langString,0,n,A description of the content and purpose of the access description.,,,,,,,,,,,ddi:reusable:3_3,e,
ConfidentialityStatement,langString,0,n,A statement regarding the confidentiality of the related data or metadata.,,,,,,,,,,,ddi:archive:3_3,e,
AccessPermission,FormType,0,n,A link to a form used to provide access to the data or metadata including a statement of the purpose of the form.,,,,,,,,,,,ddi:archive:3_3,e,
Restrictions,langString,0,n,A statement regarding restrictions to access.,,,,,,,,,,,ddi:archive:3_3,e,
CitationRequirement,langString,0,n,A statement regarding the citation requirement.,,,,,,,,,,,ddi:archive:3_3,e,
DepositRequirement,langString,0,n,A statement of deposit requirements for the data. ,,,,,,,,,,,ddi:archive:3_3,e,
AccessConditions,langString,0,n,Conditions for access to the metadata and/or data. ,,,,,,,,,,,ddi:archive:3_3,e,
Disclaimer,langString,0,n,A disclaimer regarding the liability of the data producers or providers.,,,,,,,,,,,ddi:archive:3_3,e,
AccessRestrictionDate,AccessRestrictionDateType,0,1,The date or date range of the access restriction for all or portions of the data. Includes a reason for the access restriction as well as the user group to which the restriction applies.,,,,,,,,,,,ddi:archive:3_3,e,
ContactOrganizationReference,Agent,0,n,A reference to an organization or individual to contact for further information regarding the metadata or data.,,true,,,,,,,,,ddi:archive:3_3,e,
