Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
TypeOfAddress,CodeValueType,0,1,"Indicates address type (i.e. home, office, mailing, etc.). The DDI Alliance has provided a controlled vocabulary (TypeOfAddress) to support this element at http://www.ddialliance.org/controlled-vocabularies.",,,,,,,,,,,ddi:archive:3_3,e,
Line,string,0,n,Number and street including office or suite number. May use multiple lines.,,,,,,,,,,,ddi:archive:3_3,e,
CityPlaceLocal,string,0,1,"City, Place, or local area used as part of an address.",,,,,,,,,,,ddi:archive:3_3,e,
StateProvince,string,0,1,A major subnational division such as a state or province used to identify a major region within an address.,,,,,,,,,,,ddi:archive:3_3,e,
PostalCode,string,0,1,Postal or ZIP Code,,,,,,,,,,,ddi:archive:3_3,e,
CountryCode,CountryCodeType,0,1,Country of the location,,,,,,,,,,,ddi:reusable:3_3,e,
GeographicPoint,PointType,0,1,Geographic coordinate point for the location,,,,,,,,,,,ddi:archive:3_3,e,
TimeZone,CodeValueType,0,1,Time zone of the location expressed as code. The DDI Alliance has provided a controlled vocabulary (TimeZone) to support this element at http://www.ddialliance.org/controlled-vocabularies.,,,,,,,,,,,ddi:reusable:3_3,e,
EffectivePeriod,DateType,0,1,Clarifies when the identification information is accurate.,,,,,,,,,,,ddi:reusable:3_3,e,
Privacy,string,0,1,A basic set of privacy codes for the parent element. These may be stricter than the general access restrictions for the overall metadata. If available codes are insufficient this may also contain any string.,,,,,public restricted private,,,,,,,a,
IsPreferred,boolean,0,1,"Set to ""true"" if this is the preferred location for contacting the organization or individual.",,,,,,,,,,,,a,
