Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Title,InternationalStringType,0,1,Full authoritative title. List any additional titles for this item as AlternativeTitle.,,,,,,,,,,,ddi:reusable:3_3,e,
SubTitle,InternationalStringType,0,n,Secondary or explanatory title.,,,,,,,,,,,ddi:reusable:3_3,e,
AlternateTitle,InternationalStringType,0,n,"An alternative title by which a data collection is commonly referred, or an abbreviation  for the title.",,,,,,,,,,,ddi:reusable:3_3,e,
Creator,CreatorType,0,n,"Person, corporate body, or agency responsible for the substantive and intellectual content of the described object.",,,,,,,,,,,ddi:reusable:3_3,e,
Publisher,PublisherType,0,n,Person or organization responsible for making the resource available in its present form.,,,,,,,,,,,ddi:reusable:3_3,e,
Contributor,ContributorType,0,n,"The name of a contributing author or creator, who worked in support of the primary creator given above.",,,,,,,,,,,ddi:reusable:3_3,e,
PublicationDate,DateType,0,1,The date of publication.,,,,,,,,,,,ddi:reusable:3_3,e,
Language,CodeValueType,0,n,Language of the intellectual content of the described object. Strongly recommend the use of language codes supported by xs:language which include the 2 and 3 character and extended structures defined by RFC4646 or its successors.,,,,,,,,,,,ddi:reusable:3_3,e,
InternationalIdentifier,InternationalIdentifierType,0,n,"An identifier whose scope of uniqueness is broader than the local archive. Common forms of an international identifier are ISBN, ISSN, DOI or similar designator.",,,,,,,,,,,ddi:reusable:3_3,e,
Copyright,InternationalStringType,0,n,The copyright statement.,,,,,,,,,,,ddi:reusable:3_3,e,
DcTerms,dcTerms,0,n,Element including a sequence of Dublin Core fields that may be used to supplement - but not replace - the DDI citation.,,,,,,,,,,,,e,
