Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
CollectionEventName,NameType,0,n,"A name for the Collection Event. May be expressed in multiple languages. Repeat the element to express names with different content, for example different names for different systems.",,,,,,,,,,,ddi:datacollection:3_3,e,
Label,LabelType,0,n,"A display label for the Collection Event. Supports multiple language versions of the same content as well as optional formatting of the content. Repeat for labels with different content, for example, labels with differing length limitations.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,StructuredStringType,0,1,A description of the Collection Event. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:reusable:3_3,e,
DataCollectorOrganizationReference,Agent,0,n,"Reference to an organization or individual, defined in the organization scheme, responsible for the data collection.",,,,,,,,,,,ddi:datacollection:3_3,e,
DataSource,DataSourceType,0,n,Describes a source of the data.,,,,,,,,,,,ddi:datacollection:3_3,e,
DataCollectionDate,DateType,0,1,Provides a date or range of dates for the described data collection event as well as  a cycle number when the collection is part of a series of data collection events.,,,,,,,,,,,ddi:datacollection:3_3,e,
DataCollectionFrequency,DataCollectionFrequencyType,0,n,"Documents the intended frequency of data collection, for example monthly, yearly, weekly, etc., preferably using an optional controlled vocabulary in the IntendedFrequency element. Date of first collection should be provided in StartDate as a basis for defining periodicity. EndDate should be entered for data collection cycles with a known or anticipated end date. EndDate is omitted in data collection series that are intended to be on-going.",,,,,,,,,,,ddi:datacollection:3_3,e,
ModeOfCollection,ModeOfCollectionType,0,n,Describes the mode of data collection.,,,,,,,,,,,ddi:datacollection:3_3,e,
InstrumentReference,Instrument,0,n,References the instrument or instruments used during the process of collecting data for this collection event period.,,,,,,,,,,,ddi:datacollection:3_3,e,
CollectionSituation,CollectionSituationType,0,n,Describes the situation in which the data collection event takes place. If a number of collection situation types occurred repeat this element.,,,,,,,,,,,ddi:datacollection:3_3,e,
ActionToMinimizeLosses,ActionToMinimizeLossesType,0,n,Describes action taken to minimize loss of data from the collection event.,,,,,,,,,,,ddi:datacollection:3_3,e,
QualityStatementReference,QualityStatement,0,n,"A reference to a Quality Statement pertaining to the quality of the study methodology, metadata, or data to which it is associated. Quality statements may be related to external quality standards.",,,,,,,,,,,ddi:reusable:3_3,e,
