Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
PredecessorStepReference,DevelopmentProcessStepType,0,n,Reference to the DevelopmentProcessStep that appears before this step. TypeOfObject should be DevelopmentProcessStep.,,,,,,,,,,,ddi:datacollection:3_3,e,
SuccessorStepReference,DevelopmentProcessStepType,0,n,Reference to the DevelopmentProcessStep that appears after this step. TypeOfObject should be DevelopmentProcessStep.,,,,,,,,,,,ddi:datacollection:3_3,e,
DevelopmentObjectReference_Versionable,Versionable,0,n,"Reference to the development object that is the target of this development step. If it is an external object create a description as OtherMaterial and reference the OtherMaterial. Use the attribute ""objectLanguage"" to specify any language preference. Repeat for multiple development objects. TypeOfObject should relate to the object referenced.",,,,,,,,,,,ddi:datacollection:3_3,e,
DevelopmentObjectReference_Maintainable,Maintainable,0,n,"Reference to the development object that is the target of this development step. If it is an external object create a description as OtherMaterial and reference the OtherMaterial. Use the attribute ""objectLanguage"" to specify any language preference. Repeat for multiple development objects. TypeOfObject should relate to the object referenced.",,,,,,,,,,,ddi:datacollection:3_3,e,
ResourceUsed,ResourceUsedType,0,n,Existing resources used in the process step.,,,,,,,,,,,ddi:datacollection:3_3,e,
Description,StructuredStringType,0,1,A description of the overall Development Process. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:reusable:3_3,e,
DevelopmentActivityReference,DevelopmentActivity,0,n,"Reference to one or more Development Activities used by the Development Process Step. DevelopmentActivity is a substitution base for a number of types of activities described with appropriate content. TypeOfObject should be ContentReviewActivity, TranslationActivity, or PretestActivity.",,,,,,,,,,,ddi:datacollection:3_3,e,
ResponsibleAgencyReference,Agent,0,n,Reference to an Organization or Individual responsible for this step. TypeOfObject should be Organization or Individual.,,,,,,,,,,,ddi:datacollection:3_3,e,
Prerequisite,StructuredStringType,0,n,A description of the overall prerequisites for completing this Development Processing Step. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:datacollection:3_3,e,
ConditionForAcceptance,StructuredStringType,0,n,The conditions under which the output of the Development Process Step is accepted.,,,,,,,,,,,ddi:datacollection:3_3,e,
ActivityDate,DateType,0,1,The date or date range of activity in this step.,,,,,,,,,,,ddi:datacollection:3_3,e,
