Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Datum,CodeValueType,0,1,The standard datum format used. Supports the use of a controlled vocabulary.,,,,,,,,,ddi:reusable:3_2,e,
CoordinateSystem,CodeValueType,0,1,The standard coordinate system used. Supports the use of a controlled vocabulary.,,,,,,,,,ddi:reusable:3_2,e,
CoordinateZone,CodeValueType,0,1,The standard coordinate zone being used. Supports the use of a controlled vocabulary.,,,,,,,,,ddi:reusable:3_2,e,
CoordinateSource,CodeValueType,0,1,The standard coordinate source being used. Supports the use of a controlled vocabulary.,,,,,,,,,ddi:reusable:3_2,e,
ErrorCorrection,CodeValueType,0,1,The standard method of error correction being used. Supports the use of a controlled vocabulary.,,,,,,,,,ddi:reusable:3_2,e,
Offset,string,0,1,A definition of the standard offset used when taking a coordinate reading on the geo-referenced object.,,,,,,,,,ddi:reusable:3_2,e,
GeoreferencedObject,CodeValueType,0,1,"The standard object for which the geographic coordinates are being captured. This could be a household, village centroid, etc. Supports the use of a controlled vocabulary.",,,,,,,,,ddi:reusable:3_2,e,
AddressMatchType,CodeValueType,0,1,"Use for coordinates obtained through address matching only. Identify the address matching method. Example: street segment match, ZIP code centroid, etc. Supports the use of a controlled vocabulary.",,,,,,,,,ddi:reusable:3_2,e,
CoordinatePairs,CoordinatePairsType,0,n,Field to capture coordinate pairs as individual pairs or as an array of pairs.,,,,,,,,,ddi:reusable:3_2,e,
AlternateOffset,TextDomainType,0,1,"If unable to use the standard offset, allows entry of a non-standard offset figure.",,,,,,,,,ddi:reusable:3_2,e,
AlternateObject,TextDomainType,0,1,"If the default geo-referenced object is unavailable or cannot be measured, allows identification of an alternate object.",,,,,,,,,ddi:reusable:3_2,e,
AlternateCoordinateSystem,TextDomainType,0,1,Specifies the coordinate system used for a response if different from that stated in the response structure.,,,,,,,,,ddi:reusable:3_2,e,
PointFormat,string,1,1,The type attribute is used by the documenter to describe the numeric response domain.,,,DecimalDegree DegreesMinutesSeconds DecimalMinutes Meters Feet,,,,,,,a,
SpatialPrimitive,string,1,1,Indicates the spatial primitive object which the point references.,,,Point Polygon Line LinearRing,,,,,,,a,
