Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Prefix,string,0,1,"Title that precedes the name of the individual, such as Ms., or Dr.",,,,,,,,,,,ddi:archive:3_3,e,
FirstGiven,string,0,1,First (given) name of the individual,,,,,,,,,,,ddi:archive:3_3,e,
Middle,string,0,n,Middle name or initial of the individual,,,,,,,,,,,ddi:archive:3_3,e,
LastFamily,string,0,1,Last (family) name /surname of the individual,,,,,,,,,,,ddi:archive:3_3,e,
Suffix,string,0,1,"Title that follows the name of the individual, such as Esq.",,,,,,,,,,,ddi:archive:3_3,e,
TypeOfIndividualName,CodeValueType,0,1,"The type of individual name provided. the use of a controlled vocabulary is strongly recommended. At minimum his should include, e.g. PreviousFormalName, Nickname (or CommonName), Other.",,,,,,,,,,,ddi:archive:3_3,e,
FullName,InternationalStringType,0,1,This provides a means of providing a full name as a single object for display or print such as identification badges etc. For example a person with the name of William Grace for official use may prefer a display name of Bill Grace on a name tag or other informal publication.,,,,,,,,,,,ddi:archive:3_3,e,
EffectivePeriod,DateType,0,1,Clarifies when the name information is accurate.,,,,,,,,,,,ddi:reusable:3_3,e,
Abbreviation,InternationalStringType,0,1,An abbreviation or acronym for the name. This may be expressed in multiple languages. It is assumed that if only a single language is provided that it may be used in any of the other languages within which the name itself is expressed.,,,,,,,,,,,ddi:reusable:3_3,e,
Sex,string,0,1,"Sex allows for the specification of male, female or neutral. The purpose of providing this information is to assist others in the appropriate use of pronouns when addressing the individual. Note that many countries/languages may offer a neutral pronoun form.",,,,,M F N,,,,,,,a,
IsPreferred,boolean,0,1,"If more than one name for the object is provided, use the isPreferred attribute to indicate which is the preferred name content. All other names should be set to isPreferred=""false"".",,,,,,,,,,,,a,
Context,string,0,1,"A name may be specific to a particular context, i.e. common usage, business, social, etc.. Identify the context related to the specified name.",,,,,,,,,,,,a,
IsFormal,boolean,0,1,The legal or formal name of the individual should have the isFormal attribute set to true. To avoid confusion only one individual name should have the isFormal attribute set to true. Use the TypeOfIndividualName to further differentiate the type and applied usage when multiple names are provided.,,,,,,,,,,,,a,
