Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Label,LabelType,0,n,"A display label for the number range. Supports multiple language versions of the same content as well as optional formatting of the content. Repeat for labels with different content, for example, labels with differing length limitations.",,,,,,,,,,,ddi:reusable:3_3,e,
Low,NumberRangeValueType,0,1,"The lower bound of the range expressed in the data type xs:decimal. If not present, then there is no lower bound.",,,,,,,,,,,ddi:reusable:3_3,e,
LowDouble,DoubleNumberRangeValueType,0,1,"The lower bound of the range expressed in the data type xs:double. If not present, then there is no lower bound.",,,,,,,,,,,ddi:reusable:3_3,e,
High,NumberRangeValueType,0,1,"The upper bound of the range in the data type xs:decimal. If not present, then there is no upper bound.",,,,,,,,,,,ddi:reusable:3_3,e,
HighDouble,DoubleNumberRangeValueType,0,1,"The upper bound of the range in the data type xs:double. If not present, then there is no upper bound.",,,,,,,,,,,ddi:reusable:3_3,e,
TopCode,decimal,0,1,Indicates that any response equal to or greater than this value has been coded as the top-code value. Expressed in the data type xs:decimal.,,,,,,,,,,,ddi:reusable:3_3,e,
TopCodeDouble,double,0,1,Indicates that any response equal to or greater than this value has been coded as the top-code value. Expressed in the data type xs:decimal.,,,,,,,,,,,ddi:reusable:3_3,e,
BottomCode,decimal,0,1,Indicates that any response equal to or less than this value has been coded as the bottom-code value. Expressed in the data type xs:double.,,,,,,,,,,,ddi:reusable:3_3,e,
BottomCodeDouble,double,0,1,Indicates that any response equal to or less than this value has been coded as the bottom-code value. Expressed in the data type xs:double.,,,,,,,,,,,ddi:reusable:3_3,e,
RegExp,string,0,1,Regular expression defining the allowed syntax of the number.,,,,,,,,,,,,a,
