Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
ManagedRepresentationReference_ManagedMissingValuesRepresentation,ManagedMissingValuesRepresentation,0,1,"Substitution group head for referencing Managed Representations. For example, ManagedTextRepresentationReference, ManagedNumericRepresentationReference, etc.",,,,,,,,,ddi:reusable:3_2,e,
ManagedRepresentationReference_ManagedScaleRepresentation,ManagedScaleRepresentation,0,1,"Substitution group head for referencing Managed Representations. For example, ManagedTextRepresentationReference, ManagedNumericRepresentationReference, etc.",,,,,,,,,ddi:reusable:3_2,e,
ManagedRepresentationReference_ManagedNumericRepresentation,ManagedNumericRepresentation,0,1,"Substitution group head for referencing Managed Representations. For example, ManagedTextRepresentationReference, ManagedNumericRepresentationReference, etc.",,,,,,,,,ddi:reusable:3_2,e,
ManagedRepresentationReference_ManagedDateTimeRepresentation,ManagedDateTimeRepresentation,0,1,"Substitution group head for referencing Managed Representations. For example, ManagedTextRepresentationReference, ManagedNumericRepresentationReference, etc.",,,,,,,,,ddi:reusable:3_2,e,
ManagedRepresentationReference_ManagedTextRepresentation,ManagedTextRepresentation,0,1,"Substitution group head for referencing Managed Representations. For example, ManagedTextRepresentationReference, ManagedNumericRepresentationReference, etc.",,,,,,,,,ddi:reusable:3_2,e,
CategorySchemeReference,CategoryScheme,0,1,A reference to a CategoryScheme as the managed component of a representation.,,,,,,,,,ddi:reusable:3_2,e,
CodeListReference,CodeList,0,1,A reference to a CodeList as the managed component of a representation.,,,,,,,,,ddi:reusable:3_2,e,
GeographicStructureReference,GeographicStructure,0,1,A reference to a GeographicStructure as the managed component of a representation.,,,,,,,,,ddi:reusable:3_2,e,
GeographicLocationReference,GeographicLocation,0,1,A reference to a GeographicLocation as the managed component of a representation.,,,,,,,,,ddi:reusable:3_2,e,
ConceptReference,Concept,0,1,"Reference to a Concept which provides a context for the representation, e.g. Age for a numeric representation.",,,,,,,,,ddi:reusable:3_2,e,
