Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
ManagedRepresentationReference_ManagedMissingValuesRepresentation,ManagedMissingValuesRepresentation,0,1,"Substitution group head for referencing Managed Representations. For example, ManagedTextRepresentationReference, ManagedNumericRepresentationReference, etc.",,,,,,,,,ddi:reusable:3_2,e,
ManagedRepresentationReference_ManagedScaleRepresentation,ManagedScaleRepresentation,0,1,"Substitution group head for referencing Managed Representations. For example, ManagedTextRepresentationReference, ManagedNumericRepresentationReference, etc.",,,,,,,,,ddi:reusable:3_2,e,
ManagedRepresentationReference_ManagedNumericRepresentation,ManagedNumericRepresentation,0,1,"Substitution group head for referencing Managed Representations. For example, ManagedTextRepresentationReference, ManagedNumericRepresentationReference, etc.",,,,,,,,,ddi:reusable:3_2,e,
ManagedRepresentationReference_ManagedDateTimeRepresentation,ManagedDateTimeRepresentation,0,1,"Substitution group head for referencing Managed Representations. For example, ManagedTextRepresentationReference, ManagedNumericRepresentationReference, etc.",,,,,,,,,ddi:reusable:3_2,e,
ManagedRepresentationReference_ManagedTextRepresentation,ManagedTextRepresentation,0,1,"Substitution group head for referencing Managed Representations. For example, ManagedTextRepresentationReference, ManagedNumericRepresentationReference, etc.",,,,,,,,,ddi:reusable:3_2,e,
CategorySchemeReference,CategoryScheme,0,1,A reference to a CategoryScheme as the managed component of a representation.,,,,,,,,,ddi:reusable:3_2,e,
CodeListReference,CodeList,0,1,A reference to a CodeList as the managed component of a representation.,,,,,,,,,ddi:reusable:3_2,e,
CodeSubsetInformation,CodeSubsetInformationType,0,1,Allows further specification of the codes to use from the CodeList.,,,,,,,,,ddi:reusable:3_2,e,
IncludedGeographicStructureCodes,IncludedGeographicStructureCodesType,0,1,"Identifies the Geographic Structure codes included by the Authorized source of the code, the geographic location being used and the locations to exclude.",,,,,,,,,ddi:reusable:3_2,e,
IncludedGeographicLocationCodes,IncludedGeographicLocationCodesType,0,1,"Identifies the Geographic Location codes included by the Authorized source of the code, the geographic location being used and the locations to exclude.",,,,,,,,,ddi:reusable:3_2,e,
