Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
OwnerReference,Agent,0,n,"The statistical office, other authority or section that created and maintains the Correspondence Table. A Correspondence Table may have several owners. TypeOfObject should be Organization or Individual.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
MaintenanceUnitReference,Agent,0,n,"The unit or group of persons who are responsible for the Correspondence Table, i.e. for maintaining and updating it. TypeOfObject should be Organization or Individual.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
ContactPersonReference,Agent,0,n,The person(s) who may be contacted for additional information about the Correspondence Table. TypeOfObject should be Organization or Individual.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
Publication,PublicationType,0,n,"A list of the publications in which the Correspondence Table has been published. ",,,,,,,,,,,ddi:reusable:3_3,e,
SourceClassificationReference,StatisticalClassification,0,1,The Statistical Classification from which the correspondence is made. TypeOfObject should be StatisticalClassification.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
TargetClassificationReference,StatisticalClassification,0,n,The Statistical Classification(s) to which the correspondence is directed. There may be multiple target Statistical Classifications associated with the Correspondence Table. TypeOfObject should be StatisticalClassification.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
SourceLevelReference,ClassificationLevel,0,1,"The correspondence is normally restricted to a certain Level in the source Statistical Classification. In this case, target Classification Items are assigned only to source Classification Items on the given level. If no level is indicated, target Classification Items can be assigned to any Level of the source Statistical Classification. TypeOfObject should be set to ClassificationLevel.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
TargetLevelReference,ClassificationLevel,0,1,"The correspondence is normally restricted to a certain Level in the target Statistical Classification. In this case, source Classification Items are assigned only to target Classification Items on the given Level. If no Level is indicated, source Classification Items can be assigned to any Level of the target Statistical Classification. TypeOfObject should be set to ClassificationLevel.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
RelationshipMappingType,CodeValueType,0,1,"A Correspondence Table can define a 1:1, 1:N, N:1 or M:N relationship between source and target Classification Items. Supports the use of an external controlled vocabulary.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
Maps,ClassificationMapType,0,n,"The relationship between two Statistical Classifications. A Map is an expression of the relation between a Classification Item in a source Statistical Classification and a corresponding Classification Item in the target Statistical Classification. The Map should specify whether the relationship between the two Classification Items is partial or complete. Depending on the relationship type of the Correspondence Table, there may be several Maps for a single source or target Classification Item.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
FloatingMapDate,cogsDate,0,1,"If the source and/or target Statistical Classifications of a Correspondence Table are floating Statistical Classifications, the date of the Correspondence Table must be noted. The Correspondence Table expresses the relationships between the two Statistical Classifications as they existed on the date specified in the Correspondence Table.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
