Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
ItemCode,string,0,1,"A Classification Item is identified by an alphabetical, numerical or alphanumerical code, which is in line with the code structure of the Level. The code is unique within the Statistical Classification to which the Classification Item belongs.",,,,,,,,,ddi:logicalproduct:3_3,e,
DefiningConceptReference,Concept,0,n,A concept which describes the Classification Item.,,,,,,,,,ddi:reusable:3_3,e,
Includes,StructuredStringType,0,1,Specifies the contents of the category.,,,,,,,,,ddi:logicalproduct:3_3,e,
IncludesAlso,StructuredStringType,0,1,"A list of borderline cases, which belong to the described category.",,,,,,,,,ddi:logicalproduct:3_3,e,
Excludes,StructuredStringType,0,1,"A list of borderline cases, which do not belong to the described category. Excluded cases may contain a reference to the Classification Items to which the excluded cases belong.",,,,,,,,,ddi:logicalproduct:3_3,e,
ExcludedClassificationItem,ClassificationItem,0,n,A reference to the Classification Items to which the excluded cases belong.,,,,,,,,,ddi:logicalproduct:3_3,e,
LevelNumber,int,0,1,The number of the Level to which the Classification Item belongs.,,,,,,,,,ddi:logicalproduct:3_3,e,
LevelReference,ClassificationLevel,0,1,The Level to which the Classification Item belongs.,,,,,,,,,ddi:logicalproduct:3_3,e,
IsGenerated,boolean,0,1,Indicates whether or not the Classification Item has been generated to make the Level to which it belongs complete.,,,,,,,,,ddi:logicalproduct:3_3,e,
IsValid,boolean,0,1,"If updates are allowed in the Statistical Classification, a Classification Item may be restricted in its validity, i.e. it may become valid or invalid after the Statistical Classification has been released. Indicates whether or not the Classification Item is currently valid.",,,,,,,,,ddi:logicalproduct:3_3,e,
ValidFrom,cogsDate,0,1,Date from which the Classification Item became valid. The date must be defined if the Classification Item belongs to a floating Statistical Classification.,,,,,,,,,ddi:logicalproduct:3_3,e,
ValidTo,cogsDate,0,1,Date at which the Classification Item became invalid. The date must be defined if the Classification Item belongs to a floating Statistical Classification and is no longer valid.,,,,,,,,,ddi:logicalproduct:3_3,e,
FutureEvents,StructuredStringType,0,1,"The future events describe a change (or a number of changes) related to an invalid Classification Item. These changes may e.g. have turned the now invalid Classification Item into one or several successor Classification Items. In describing these changes, terminology from the Typology of item changes, found in Appendix 3 should be used. This allows the possibility to follow successors of the Classification Item in the future.",,,,,,,,,ddi:logicalproduct:3_3,e,
SuccessorClassificationItem,ClassificationItem,0,n,"Future events may e.g. have turned the now invalid Classification Item into one or several successor Classification Items, listed here",,,,,,,,,ddi:logicalproduct:3_3,e,
ChangesFromPriorVersion,StructuredStringType,0,1,"Describes the changes, which the Classification Item has been subject to from the previous version to the actual Statistical Classification. In describing these changes, terminology from the Typology of item changes, found in Appendix 3 of GSIM should be used.",,,,,,,,,ddi:logicalproduct:3_3,e,
Updates,StructuredStringType,0,1,"Describes the changes, which the Classification Item has been subject to during the life time of the actual Statistical Classification.",,,,,,,,,ddi:logicalproduct:3_3,e,
ParentClassificationItem,ClassificationItem,0,1,The Classification Item at the next higher Level of the Statistical Classification of which the actual Classification Item is a sub item.,,,,,,,,,ddi:logicalproduct:3_3,e,
CaseLaws,CaseLawType,0,n,Refers to one or more case law rulings related to the Classification Item.,,,,,,,,,ddi:logicalproduct:3_3,e,
