Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
ComparisonName,langString,0,n,"A name for the comparison.",,,,,,,,,,,ddi:comparative:3_3,e,
Label,langString,0,n,"A display label for the comparison.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,langString,0,n,A description of the content and purpose of the comparison.,,,,,,,,,,,ddi:reusable:3_3,e,
ConceptMapReference,GenericMap,0,n,Maps the content of two different concept schemes of objects of the same type providing detail for the comparable items within those two schemes.,,,,,,,,,,,ddi:comparative:3_3,e,
VariableMapReference,GenericMap,0,n,Maps the content of two different variable schemes of objects of the same type providing detail for the comparable items within those two schemes.,,,,,,,,,,,ddi:comparative:3_3,e,
QuestionMapReference,GenericMap,0,n,Maps the content of two different question schemes of objects of the same type providing detail for the comparable items within those two schemes.,,,,,,,,,,,ddi:comparative:3_3,e,
CategoryMapReference,GenericMap,0,n,Maps the content of two different category schemes of objects of the same type providing detail for the comparable items within those two schemes.,,,,,,,,,,,ddi:comparative:3_3,e,
RepresentationMapReference,RepresentationMap,0,n,"Maps between any two managed representations. In addition to representation types held in a ManagedRepresentationScheme, managed representations include CategoryScheme and coded representations which include CodeList, GeographicStructureCode or GeographicLocationCode. Note that the source can be any managed representation including a CodeList, GeographicStructure or GeographicLocation. Note that comparisons between two category schemes is best handled by CategoryMap.",,,,,,,,,,,ddi:comparative:3_3,e,
UniverseMapReference,GenericMap,0,n,Maps the content of two different universe schemes of objects of the same type providing detail for the comparable items within those two schemes.,,,,,,,,,,,ddi:comparative:3_3,e,
ManagedItemMapReference,GenericMap,0,n,Maps the items managed within different schemes of objects of the same type providing detail for the comparable items within those two schemes.,,,,,,,,,,,ddi:comparative:3_3,e,
