Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
ConceptName,NameType,0,n,"A name for the Concept. May be expressed in multiple languages. Repeat the element to express names with different content, for example different names for different systems.",,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
Label,LabelType,0,n,"A display label for the Concept. Supports multiple language versions of the same content as well as optional formatting of the content. Repeat for labels with different content, for example, labels with differing length limitations.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,StructuredStringType,0,1,A description of the content and purpose of the Concept. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:reusable:3_3,e,
SimilarConcept,SimilarConceptType,0,n,A reference to a concept expressing a similar idea plus a description of the differences. Used to assist in disambiguation of concepts.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
SubclassOfReference,Concept,0,n,Reference to a Concept that is used for qualifying this data element concept. The referenced Concept should have its isCharacteristic attribute set to true.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
ExcludesConceptReference,Concept,0,n,Reference to a Concept that is used for qualifying what is excluded from the Concept's definition.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
IncludesConceptReference,Concept,0,n,Reference to a Concept that is used for qualifying this is included in the Concept's definition.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
IsCharacteristic,boolean,0,1,"If set to ""true"" this concept is used to describe a characteristic of another concept.",,,,,,,,,,,,a,
BroaderReference,Concept,0,n,Reference to a Concept that is broader in meaning (i.e. more general) than this Concept.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
NarrowerReference,Concept,0,n,Reference to a Concept that is narrower in meaning (i.e. more specific) than this Concept.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
RelatedReference,Concept,0,n,Reference to a Concept that has a associative relationship this Concept.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
