Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
ConceptualComponentModuleName,langString,0,n,"A name for the ConceptualComponentModule.",,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
Label,langString,0,n,"A display label for the ConceptualComponentModule.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,langString,0,n,A description of the ConceptualComponentModule.,,,,,,,,,,,ddi:reusable:3_3,e,
Coverage,CoverageType,0,1,"Provides information about the topical, spatial, and temporal coverage of the conceptual components included in this module.",,,,,,,,,,,ddi:reusable:3_3,e,
ConceptSchemeReference,ConceptScheme,0,n,Contains a set of the concepts measured by the data that are being documented.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
UniverseSchemeReference,UniverseScheme,0,n,Contains a set of the Universes and sub-universes of the data that are being documented.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
ConceptualVariableSchemeReference,ConceptualVariableScheme,0,n,Contains a set of ConceptualVariables.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
GeographicStructureSchemeReference,GeographicStructureScheme,0,n,Contains a collection of geographic structures.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
GeographicLocationSchemeReference,GeographicLocationScheme,0,n,Contains a collection of geographic locations.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
UnitTypeSchemeReference,UnitTypeScheme,0,n,Contains a collection of unit types.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
