Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
DDIProfileName,NameType,0,n,"A name for the profile. May be expressed in multiple languages. Repeat the element to express names with different content, for example different names for different systems.",,,,,,,,,,,ddi:ddiprofile:3_3,e,
Label,LabelType,0,n,"A display label for the profile. Supports multiple language versions of the same content as well as optional formatting of the content. Repeat for labels with different content, for example, labels with differing length limitations.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,StructuredStringType,0,1,A description of the content and purpose of the profile. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:reusable:3_3,e,
ApplicationOfProfile,CodeValueType,0,n,A brief description of the intended applications of the profile. Supports the use of an external controlled vocabulary.,,,,,,,,,,,ddi:ddiprofile:3_3,e,
Purpose,StructuredStringType,0,1,Purpose describes the purpose of creating the profile such as describing the coverage of a distribution software system.,,,,,,,,,,,ddi:reusable:3_3,e,
XPathVersion,decimal,0,1,"Provides the version of XPath used. Values are 1.0, 2.0 at this time.",,,,,,,,,,,ddi:ddiprofile:3_3,e,
DDINamespace,decimal,0,1,"Provides the version of DDI schemas used. Values are 2.5, 3.0, 3.1, etc. Note that only the Major.Minor portion of the version number is used.",,,,,,,,,,,ddi:ddiprofile:3_3,e,
XMLPrefixMap,XMLPrefixMapType,0,n,"If you are not using the standard DDI prefix or the full DDI name then provide mapping. For each XML namespace used in the profile's XPath expressions, the XML namespaces must have their prefix specified using this element.",,,,,,,,,,,ddi:ddiprofile:3_3,e,
Instructions,StructuredStringType,0,1,Instructions for use of the profile. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:ddiprofile:3_3,e,
Used,UsedType,0,1,Indicates an element in the DDI which is used by the profile expressed as an XPath. Note that including a complex element will include all of its component parts.,,,,,,,,,,,ddi:ddiprofile:3_3,e,
NotUsed,NotUsedType,0,1,"Indicates an element in the DDI which is not used by the profile expressed as an XPath. You cannot list anything which is required in the DDI schemas, as this would produce invalid XML instances.",,,,,,,,,,,ddi:ddiprofile:3_3,e,
