Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
TypeOfGroup,CodeValueType,0,1,A brief textual identification of the StudyUnit. Supports the use of an external controlled vocabulary.,,,,,,,,,,,ddi:group:3_3,e,
Citation,CitationType,0,1,The citation for the group. DDI strongly recommends that at minimum a Title be provided.,,,,,,,,,,,ddi:reusable:3_3,e,
Abstract,StructuredStringType,0,1,"An abstract of the group unit describing the nature and scope of the data collection, special characteristics of its content. Note that detailed information on the purpose of the group and structured coverage information are to be entered in Purpose and Coverage. Supports multiple language versions of the same content as well as optional formatting of the content.",,,,,,,,,,,ddi:reusable:3_3,e,
AuthorizationSource,AuthorizationSourceType,0,n,"Identifies the authorizing agency for the group and allows for the full text of the authorization (law, regulation, or other form of authorization). May be used to list authorizations from oversight committees and other regulatory agencies.",,,,,,,,,,,ddi:reusable:3_3,e,
ApprovalReviewReference,ApprovalReview,0,1,"Provides information about the Approval Review undertaken in relation to the activity. Identifies the organization processing the review, the role of the approval review organization, case number, description, and related dates. Allows the inclusion of a reference to an external source detailing the approval review.",,,,,,,,,,,ddi:reusable:3_3,e,
DefiningConceptReference,Concept,0,1,A concept that defines or aids in understanding the content of the group.,,,,,,,,,,,ddi:reusable:3_3,e,
UniverseReference,Universe,0,1,"Reference to the universe statement from the universe scheme, describing the group of persons or other elements that are the object of research and to which any analytic results refer. Age, nationality, and residence commonly help to delineate a given universe, but any of a number of factors may be involved, such as sex, race, income, veteran status, criminal convictions, etc. The universe may consist of elements other than persons, such as housing units, court cases, deaths, countries, etc. In general, it should be possible to tell from the description of the universe whether a given individual or element (hypothetical or real) is a member of the population under group. A universe may be described as ""inclusive"" or ""exclusive"". This group level reference is normally to the top level of the UniverseScheme.",,,,,,,,,,,ddi:reusable:3_3,e,
SeriesStatement,SeriesStatementType,0,n,"A group, particularly one in a series, may be the result of two series merging into a single group. The new group belongs to both series. For example, Niger now fields the UNICEF Multiple Indicators Cluster Survey (MICS) and the Demographic and Health Survey as a single merged instrument.",,,,,,,,,,,ddi:reusable:3_3,e,
InformationClassificationReference,InformationClassification,0,n,"Used to describe the rules and guidelines on how the data is allowed to be handled, transferred, stored and disposed. These confidentiality policies are often dictated by national laws and/or data owners on handling of personal, proprietary, and other sensitive information.",,,,,,,,,,,ddi:reusable:3_3,e,
QualityStatementReference,QualityStatement,0,n,"A reference to a Quality Statement pertaining to the quality of the group overall, metadata, or data to which it is associated. Quality statements may be related to external quality standards.",,,,,,,,,,,ddi:reusable:3_3,e,
QualitySchemeReference,QualityScheme,0,n,"A scheme containing statements of quality related to the quality of methodologies, metadata, or data. Quality statements and standards may be related to external quality standards.",,,,,,,,,,,ddi:reusable:3_3,e,
ExPostEvaluation,ExPostEvaluationType,0,n,"An evaluation of the group process, often taking place after the completion of the group. These may include issues such as timing of the group, sequencing issues, cost/budget issues, relevance, institutional or legal arrangements etc. of the group. If the group is part of a series or group (i.e., a single wave in a longitudinal group) this may include evaluation of earlier waves which resulted in changes to the current wave.",,,,,,,,,,,ddi:reusable:3_3,e,
FundingInformation,FundingInformationType,0,n,"Contains details of the group unit's funding, including information about grants, agencies, etc.",,,,,,,,,,,ddi:reusable:3_3,e,
ProjectBudget,BudgetType,0,n,This describes the overall budget of the group. It can be repeated for distinct budget activities. It contains a structured description and one or more budget documents described by an OtherMaterial type.,,,,,,,,,,,ddi:group:3_3,e,
Purpose,StructuredStringType,0,1,"The purpose of the group, why the group took place. This should include detailed information on the investigator's primary group questions or hypotheses as well as information on any legal basis for the data collection, such as laws requiring the collection of census data for apportionment purposes. Legal or other authorization should be provided in detail within AuthorizationSource. Supports multiple language versions of the same content as well as optional formatting of the content.",,,,,,,,,,,ddi:reusable:3_3,e,
Coverage,CoverageType,0,1,"Describes the coverage of the group unit. Detailed information on Topical, Temporal, and Spatial Coverage is contained here. Note that Coverage at this level should be inclusive all lower level modules or section. Lower level descriptions serve to constrain coverage within the scope described here.",,,,,,,,,,,ddi:reusable:3_3,e,
AnalysisUnit,CodeValueType,0,n,Allows the use of a controlled vocabulary to list all of the units of analysis used in the group. Should be repeated to describe multiple units of analysis. The DDI Alliance has provided a controlled vocabulary (AnalysisUnit) to support this element at http://www.ddialliance.org/controlled-vocabularies.,,,,,,,,,,,ddi:reusable:3_3,e,
AnalysisUnitsCovered,InternationalStringType,0,1,A narrative of the units of analysis in the group unit. Uses an InternationalString to support multiple languages.,,,,,,,,,,,ddi:reusable:3_3,e,
KindOfData,KindOfDataType,0,n,"Briefly describes the kind of data documented in the logical product(s) of a group unit. Examples include survey data, census/enumeration data, administrative data, measurement data, assessment data, demographic data, voting data, etc. Supports the use of an external controlled vocabulary.",,,,,,,,,,,ddi:reusable:3_3,e,
GeneralDataFormat,CodeValueType,0,n,"Briefly describes the data formats documented in the logical product(s) of a group unit. Examples include Numeric, Text, Audio, Visual, Geospatial, StillImage, Software, 3D, etc. Supports the use of an external controlled vocabulary. The DDI Alliance has provided a controlled vocabulary (GeneralDataFormat) to support this element at http://www.ddialliance.org/controlled-vocabularies.",,,,,,,,,,,ddi:reusable:3_3,e,
RequiredResourcePackages,RequiredResourcePackagesType,0,1,Specifies by reference the ResourcePackages required to resolve the group. This list is informational and assists in creating full transmissions of metadata or creating archival packages. Primarily used after the instance is relatively stable and published.,,,,,,,,,,,ddi:reusable:3_3,e,
Embargo,EmbargoType,0,n,Embargo information about the group unit. References to embargo information in this section can be made from individual variables.,,,,,,,,,,,ddi:reusable:3_3,e,
OtherMaterialSchemeReference,OtherMaterialScheme,0,n,This scheme contains a set of other materials referenced by the metadata.,,,,,,,,,,,ddi:reusable:3_3,e,
ConceptualComponentReference,ConceptualComponent,0,n,ConceptualComponent applying to the group as a whole.,,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
DataCollectionReference,DataCollection,0,n,DataCollection applying to the group as a whole.,,,,,,,,,,,ddi:datacollection:3_3,e,
LogicalProductReference,BaseLogicalProduct,0,n,LogicalProduct applying to the group as a whole.,,true,,,,,,,,,ddi:logicalproduct:3_3,e,
PhysicalDataProductReference,PhysicalDataProduct,0,n,PhysicalDataProduct applying to the group as a whole.,,,,,,,,,,,ddi:physicaldataproduct:3_3,e,
PhysicalInstanceReference,PhysicalInstance,0,n,PhysicalInstance applying to the group as a whole.,,,,,,,,,,,ddi:physicalinstance:3_3,e,
PhysicalInstanceGroupReference,PhysicalInstanceGroup,0,n,Allows physical instance modules to be grouped with or without hierarchical structure.,,,,,,,,,,,ddi:physicalinstance:3_3,e,
ArchiveReference,Archive,0,n,Archive applying to the group as a whole.,,,,,,,,,,,ddi:archive:3_3,e,
ClassificationFamilyReference,ClassificationFamily,0,n,Allows for in-line entry of a Classification Family.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
DDIProfileReference,DDIProfile,0,n,DDIProfile applying to the group as a whole.,,,,,,,,,,,ddi:ddiprofile:3_3,e,
ComparisonReference,Comparison,0,n,In-line Comparison of differences between related objects in different study units or due to versioning.,,,,,,,,,,,ddi:comparative:3_3,e,
StudyUnitReference,StudyUnit,0,n,A StudyUnit within the Group provided in-line.,true,,,,,,,,,,ddi:studyunit:3_3,e,
GroupReference,Group,0,n,A description of study units comprising a subordinate Group within the main Group.,true,,,,,,,,,,ddi:group:3_3,e,
Time,string,0,1,"Indicates how all members of the group are related along the dimension of time (for example single occurrence, multiple occurrence, etc.).",,,,,T0 T1 T2 T3 T4 T5,,,,,,,a,
CaptureInstrument,string,0,1,"Indicates how all members of the group are related in terms of the instruments used to collect data (single, multiple, etc.).",,,,,I0 I1 I2 I3,,,,,,,a,
Panel,string,0,1,"Indicates how all members of the group are related in terms of type of panel (single, rolling, etc.).",,,,,P0 P1 P2 P3 P4,,,,,,,a,
Geography,string,0,1,Indicates how all members of the group are related along the dimension of geography.,,,,,G0 G1 G2 G3 G4,,,,,,,a,
DataProduct,string,0,1,Indicates how all members of the group are related in terms of physical data products in relation to data collection efforts.,,,,,D0 D1 D2 D3 D4,,,,,,,a,
LanguageRelationship,string,0,1,"Indicates how all members of the group are related in terms of language relationships such as parallel content in multiple languages, translations (full or partial), etc.",,,,,L0 L1 L2 L3 L4 L5 L6 L7,,,,,,,a,
UserDefinedGroupProperty,string,0,1,"Provides a user-defined grouping property, different from those supplied in other attributes.",,,,,,,,,,,,a,
UserDefinedGroupPropertyValue,string,0,1,Provides a value for the user-defined group property supplied in userDefinedGroupProperty.,,,,,,,,,,,,a,
IsInheritable,boolean,0,1,"Default is true, and allows for inheritance of all properties and modules, and the use of lower-level over-rides. If set to false, inheritance is switched off for specific groups.",,,,,,,,,,,,a,
