Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
ManagedGeographicRepresentationName,NameType,0,n,"A name for the ManagedGeographicRepresentation. May be expressed in multiple languages. Repeat the element to express names with different content, for example, different names for different systems.",,,,,,,,,,,ddi:reusable:3_3,e,
Label,LabelType,0,n,"A display label for the ManagedTextRepresentation. Supports multiple language versions of the same content as well as optional formatting of the content. Repeat for labels with different content, for example, labels with differing length limitations.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,StructuredStringType,0,1,A description of the content and purpose of the ManagedTextRepresentation. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:reusable:3_3,e,
RecommendedDataType,CodeValueType,0,1,"This field provides the recommended treatment of the data within an application. The value should come from a controlled vocabulary - recommended values include the set found in W3C XML Schema Part 2, but excluding string sub-types, QNAME, and NOTATION. The DDI Alliance has provided a controlled vocabulary (DataType) to support this element at http://www.ddialliance.org/controlled-vocabularies.",,,,,,,,,,,ddi:reusable:3_3,e,
GenericOutputFormat,CodeValueType,0,1,This field provides a recommended generic treatment of the data for display by an application. The value should come from a controlled vocabulary.,,,,,,,,,,,ddi:reusable:3_3,e,
MeasurementUnit,CodeValueType,0,1,"Records the measurement unit, for example, 'km', 'miles', etc. Supports the use of a controlled vocabulary.",,,,,,,,,,,ddi:reusable:3_3,e,
Datum,CodeValueType,0,1,The standard datum format used. Supports the use of a controlled vocabulary.,,,,,,,,,,,ddi:reusable:3_3,e,
CoordinateSystem,CodeValueType,0,1,The standard coordinate system used. Supports the use of a controlled vocabulary.,,,,,,,,,,,ddi:reusable:3_3,e,
CoordinateZone,CodeValueType,0,1,The standard coordinate zone being used. Supports the use of a controlled vocabulary.,,,,,,,,,,,ddi:reusable:3_3,e,
CoordinateSource,CodeValueType,0,1,The standard coordinate source being used. Supports the use of a controlled vocabulary.,,,,,,,,,,,ddi:reusable:3_3,e,
ErrorCorrection,CodeValueType,0,1,The standard method of error correction being used. Supports the use of a controlled vocabulary.,,,,,,,,,,,ddi:reusable:3_3,e,
Offset,string,0,1,A definition of the standard offset used when taking a coordinate reading on the geo-referenced object.,,,,,,,,,,,ddi:reusable:3_3,e,
GeoreferencedObject,CodeValueType,0,1,"The standard object for which the geographic coordinates are being captured. This could be a household, village centroid, etc. Supports the use of a controlled vocabulary.",,,,,,,,,,,ddi:reusable:3_3,e,
AddressMatchType,CodeValueType,0,1,"Use for coordinates obtained through address matching only. Identify the address matching method. Example: street segment match, ZIP code centroid, etc. Supports the use of a controlled vocabulary.",,,,,,,,,,,ddi:reusable:3_3,e,
CoordinatePairs,CoordinatePairsType,0,n,Field to capture coordinate pairs as individual pairs or as an array of pairs.,,,,,,,,,,,ddi:reusable:3_3,e,
AlternateOffset,TextDomainType,0,1,"If unable to use the standard offset, allows entry of a non-standard offset figure.",,,,,,,,,,,ddi:reusable:3_3,e,
AlternateObject,TextDomainType,0,1,"If the default geo-referenced object is unavailable or cannot be measured, allows identification of an alternate object.",,,,,,,,,,,ddi:reusable:3_3,e,
AlternateCoordinateSystem,TextDomainType,0,1,Specifies the coordinate system used for a response if different from that stated in the response structure.,,,,,,,,,,,ddi:reusable:3_3,e,
ClassificationLevel,string,0,1,"Indicates the type of relationship, nominal, ordinal, interval, ratio, or continuous. Use where appropriate for the representation type.",,,,,Nominal Ordinal Interval Ratio Continuous,,,,,,,a,
PointFormat,string,1,1,The type attribute is used by the documenter to describe the numeric response domain.,,,,,DecimalDegree DegreesMinutesSeconds DecimalMinutes Meters Feet,,,,,,,a,
SpatialPrimitive,string,1,1,Indicates the spatial primitive object which the point references.,,,,,Point Polygon Line LinearRing,,,,,,,a,
