Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
TypeOfManagedRepresentationGroup,CodeValueType,0,1,A generic element for specifying a reason for a ManagedRepresentationGroup. Note that this element can contain either a term from a controlled vocabulary list or a textual description.,,,,,,,,,,,ddi:reusable:3_3,e,
ManagedRepresentationGroupName,NameType,0,n,"A name for the ManagedRepresentationGroup. May be expressed in multiple languages. Repeat the element to express names with different content, for example different names for different systems.",,,,,,,,,,,ddi:reusable:3_3,e,
Label,LabelType,0,n,"A display label for the ManagedRepresentationGroup. Supports multiple language versions of the same content as well as optional formatting of the content. Repeat for labels with different content, for example, labels with differing length limitations.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,StructuredStringType,0,1,A description of the content and purpose of the ManagedRepresentationGroup. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:reusable:3_3,e,
UniverseReference,Universe,0,n,Reference to the universe statement describing the persons or other objects to which the contents of this managed representation group pertain.,,,,,,,,,,,ddi:reusable:3_3,e,
ConceptReference,Concept,0,1,Reference to the concept expressed by the managed representations in this group.,,,,,,,,,,,ddi:reusable:3_3,e,
Subject,InternationalCodeValueType,0,n,"If subjects are listed for this group, it is strongly recommended that the subjects listed also be found in the TopicalCoverage element for the parent packaging element when this group is included directly or by reference in a module containing a coverage element. Use of subject at the group level allows for associating objects as a type of subject based group or to identify subject characteristics of a reusable group of objects.",,,,,,,,,,,ddi:reusable:3_3,e,
Keyword,InternationalCodeValueType,0,n,"If keywords are listed for this group, it is strongly recommended that the keywords listed also be found in the TopicalCoverage element for the parent packaging element when this group is included directly or by reference in a module containing a coverage element. Use of keyword at the group level allows for associating objects as a type of keyword based group or to identify keyword characteristics of a reusable group of objects.",,,,,,,,,,,ddi:reusable:3_3,e,
ManagedRepresentationReference,ManagedRepresentation,0,1,This is an abstract substitution base for a reference to a specific type of Managed Representation.,,true,,,,,,,,,ddi:reusable:3_3,e,
CategorySchemeReference,CategoryScheme,0,1,Reference to a CategoryScheme used as a representation.,,,,,,,,,,,ddi:reusable:3_3,e,
CodeListReference,CodeList,0,1,Reference to a CodeList used as a representation.,,,,,,,,,,,ddi:reusable:3_3,e,
GeographicStructureSchemeReference,GeographicStructureScheme,0,1,Reference to a GeographicStructureScheme used as a representation.,,,,,,,,,,,ddi:reusable:3_3,e,
GeographicLocationReference,GeographicLocation,0,1,Reference to a GeographicLocationReference used as a representation.,,,,,,,,,,,ddi:reusable:3_3,e,
ManagedRepresentationGroupReference,ManagedRepresentationGroup,0,1,Reference to constituent ManagedRepresentationGroup. This allows for nesting of ManagedRepresentationGroups.,,,,,,,,,,,ddi:reusable:3_3,e,
IsOrdered,boolean,0,1,"If set to ""true"" indicates that the content of the group is ordered as it appears within the XML structure.",,,,,,,,,,,,a,
