Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
MeasurementItemName,NameType,0,n,"A name for the MeasurementItem. Repeat the element to express names with different content, for example different names for different systems.",,,,,,,,,,,ddi:datacollection:3_3,e,
Label,LabelType,0,n,"A display label for the MeasurementItem. Supports multiple language versions of the same content as well as optional formatting of the content. Repeat for labels with different content, for example, labels with differing length limitations.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,StructuredStringType,0,1,A description of the MeasurementItem. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:reusable:3_3,e,
InParameter,InParameterType,0,n,Provides an identity for input objects required for the MeasurementItem.,,,,,,,,,,,ddi:reusable:3_3,e,
OutParameter,ParameterType,0,n,Provides an identify for the output objects of the MeasurementItem.,,,,,,,,,,,ddi:reusable:3_3,e,
Binding,BindingType,0,n,A structure used to bind the content of a parameter declared as the source to a parameter declared as the target.,,,,,,,,,,,ddi:reusable:3_3,e,
TypeOfMeasurementItem,CodeValueType,0,n,A brief term defining the type of MeasurementItem. Supports the use of an external controlled vocabulary.,,,,,,,,,,,ddi:datacollection:3_3,e,
MeasurementItemIntent,StructuredStringType,0,1,The purpose of the MeasurementItem in terms of what it is designed to measure.,,,,,,,,,,,ddi:datacollection:3_3,e,
ResponseDomain,RepresentationType,0,1,"Contains a response domain for the measurement item. Typically used to describe simple response domains (textual, numeric, etc.).",,true,,,,,,,,,ddi:datacollection:3_3,e,
ResponseDomainReference,ManagedRepresentation,0,1,The inclusion of a response domain by reference (must be supported by a managed representation). An abstract element. May be substituted by any valid object of substitution type ResponseDomainReference.,,true,,,,,,,,,ddi:datacollection:3_3,e,
StructuredMixedResponseDomain,StructuredMixedResponseDomainType,0,1,Use in cases where the measurement requires the option for multiple response domains.,,,,,,,,,,,ddi:datacollection:3_3,e,
ResponseCardinality,ResponseCardinalityType,0,1,Allows the designation of the minimum and maximum number of responses allowed for this measurement. Note that each response domain has its own response cardinality.,,,,,,,,,,,ddi:reusable:3_3,e,
ConceptReference,Concept,0,n,A reference to the concept associated with the response to the measurement.,,,,,,,,,,,ddi:reusable:3_3,e,
ExternalAid,ExternalAidType,0,n,"A pointer to an external aid presented by the instrument such as a text card, image, audio, or audiovisual aid. Typically a URN. Use type attribute to describe the type of external aid provided. Example of terms to use would include: imageOnly audioOnly audioVisual multiMedia.",,,,,,,,,,,ddi:datacollection:3_3,e,
ExternalInterviewerInstruction,ExternalInterviewerInstructionType,0,1,External reference to an interviewer instruction not expressed as DDI XML using OtherMaterial.,,,,,,,,,,,ddi:datacollection:3_3,e,
InterviewerInstructionAttachment,AttachedInstructionType,0,1,an interviewer instruction expressed as DDI XML.,,,,,,,,,,,ddi:datacollection:3_3,e,
RepresentedVariableReference,RepresentedVariable,0,n,"Reference to the RepresentedVariable that describes the data to be collected by this measurement. The RepresentedVariable contains the broad reusable specification of the Variable, i.e., concept, universe, and value representation. When more than one ResponseDomain exists, one RepresentedVariable should be created for each ResponseDomain in the same order as the corresponding ResponseDomain. TypeOfObject should be set to RepresentedVariable.",,,,,,,,,,,ddi:reusable:3_3,e,
DevelopmentResultsReference,DevelopmentResults,0,n,Reference to the development implementation results which gave rise to this version of the object. TypeOfObject should be DevelopmentResults.,,,,,,,,,,,ddi:datacollection:3_3,e,
EstimatedSecondsResponseTime,decimal,0,1,The estimated amount of time required to perform the measurement expressed in seconds. Decimal values should be used to define fractions of seconds.,,,,,,,,,,,,a,
