Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
TypeOfOrganizationGroup,CodeValueType,0,1,A generic element for specifying a reason for a OrganizationGroup. Note that this element can contain either a term from a controlled vocabulary list or a textual description.,,,,,,,,,,,ddi:archive:3_3,e,
OrganizationGroupName,langString,0,n,"A name for the OrganizationGroup.",,,,,,,,,,,ddi:archive:3_3,e,
Label,langString,0,n,"A display label for the OrganizationGroup.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,langString,0,n,A description of the content and purpose of the OrganizationGroup.,,,,,,,,,,,ddi:reusable:3_3,e,
UniverseReference,Universe,0,n,Reference to the universe statement describing the persons or other objects to which the contents of this group pertain.,,,,,,,,,,,ddi:reusable:3_3,e,
ConceptReference,Concept,0,1,Reference to the concept expressed by the objects in this group.,,,,,,,,,,,ddi:reusable:3_3,e,
Subject,InternationalCodeValueType,0,n,"If subjects are listed for this group, it is strongly recommended that the subjects listed also be found in the TopicalCoverage element for the parent packaging element when this group is included directly or by reference in a module containing a coverage element. Use of subject at the group level allows for associating objects as a type of subject based group or to identify subject characteristics of a reusable group of objects.",,,,,,,,,,,ddi:reusable:3_3,e,
Keyword,InternationalCodeValueType,0,n,"If keywords are listed for this group, it is strongly recommended that the keywords listed also be found in the TopicalCoverage element for the parent packaging element when this group is included directly or by reference in a module containing a coverage element. Use of keyword at the group level allows for associating objects as a type of keyword based group or to identify keyword characteristics of a reusable group of objects.",,,,,,,,,,,ddi:reusable:3_3,e,
OrganizationReference,Organization,0,n,Reference to constituent Organization. TypeOfObject should be set to Organization.,true,,,,,,,,,,ddi:archive:3_3,e,
IndividualReference,Individual,0,n,Reference to constituent Individual. TypeOfObject should be set to Individual.,true,,,,,,,,,,ddi:archive:3_3,e,
RelationReference,Relation,0,n,Reference to a constituent Relation. TypeOfObject should be set to Relation.,,,,,,,,,,,ddi:archive:3_3,e,
OrganizationGroupReference,OrganizationGroup,0,n,Reference to constituent OrganizationGroup. This allows for nesting of OrganizationGroups. TypeOfObject should be set to OrganizationGroup.,true,,,,,,,,,,ddi:archive:3_3,e,
IsOrdered,boolean,0,1,"If set to ""true"" indicates that the content of the group is ordered.",,,,,,,,,,,,a,
