Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
TypeOfMaterial,CodeValueType,0,1,Designation of the type of material being described. Supports the use of a controlled vocabulary.,,,,,,,,,,,ddi:reusable:3_3,e,
Description,StructuredStringType,0,1,A description of the referenced material. This field can map to a Dublin Core abstract. Note that Dublin Core does not support structure within the abstract element. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:reusable:3_3,e,
Citation,CitationType,0,1,Bibliographic citation for the external resource.,,,,,,,,,,,ddi:reusable:3_3,e,
ExternalURLReference,anyURI,0,n,Contains a URL which indicates the location of the cited external resource.,,,,,,,,,,,ddi:reusable:3_3,e,
ExternalURNReference,anyURI,0,1,Contains a URN which identifies the cited external resource.,,,,,,,,,,,ddi:reusable:3_3,e,
Relationship,RelationshipType,0,n,Reference to the item within the DDI Instance to which the external resource is related.,,,,,,,,,,,ddi:reusable:3_3,e,
MIMEType,CodeValueType,0,1,Provides a standard Internet MIME type for use by processing applications.,,,,,,,,,,,ddi:reusable:3_3,e,
Segment,SegmentType,0,n,Can describe a segment within a larger object such as a text or video segment.,,,,,,,,,,,ddi:reusable:3_3,e,
SizeInBytes,nonNegativeInteger,0,1,Specifies the size of the file in bytes.,,,,,,,,,,,ddi:reusable:3_3,e,
Lang,language,0,1,Language of the metadata describing the other material.,,,,,,,,,,,http://www.w3.org/XML/1998/namespace,a,
