Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
TypeOfPhysicalInstanceGroup,CodeValueType,0,1,A brief textual identification of the group type. Supports the use of an external controlled vocabulary.,,,,,,,,,,,ddi:physicalinstance:3_3,e,
PhysicalInstanceGroupName,NameType,0,n,"A name for the group. May be expressed in multiple languages. Repeat the element to express names with different content, for example different names for different systems.",,,,,,,,,,,ddi:physicalinstance:3_3,e,
Label,LabelType,0,n,"A display label for the PhysicalInstanceGroup. May be expressed in multiple languages. Repeat for labels with different content, for example, labels with differing length limitations.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,StructuredStringType,0,1,A description of the content and purpose of the PhysicalInstanceGroup. May be expressed in multiple languages and supports the use of structured content.,,,,,,,,,,,ddi:reusable:3_3,e,
UniverseReference,Universe,0,n,Reference to the universe statement describing the persons or other objects to which the contents of this group pertain.,,,,,,,,,,,ddi:reusable:3_3,e,
ConceptReference,Concept,0,1,Reference to the concept expressed by the objects in this group.,,,,,,,,,,,ddi:reusable:3_3,e,
Subject,InternationalCodeValueType,0,n,"If subjects are listed for this group, it is strongly recommended that the subjects listed also be found in the TopicalCoverage element for the parent packaging element when this group is included directly or by reference in a module containing a coverage element. Use of subject at the group level allows for associating objects as a type of subject based group or to identify subject characteristics of a reusable group of objects.",,,,,,,,,,,ddi:reusable:3_3,e,
Keyword,InternationalCodeValueType,0,n,"If keywords are listed for this group, it is strongly recommended that the keywords listed also be found in the TopicalCoverage element for the parent packaging element when this group is included directly or by reference in a module containing a coverage element. Use of keyword at the group level allows for associating objects as a type of keyword based group or to identify keyword characteristics of a reusable group of objects.",,,,,,,,,,,ddi:reusable:3_3,e,
PhysicalInstanceReference,PhysicalInstance,0,n,A PhysicalInstance defined as a member of this group.,,,,,,,,,,,ddi:reusable:3_3,e,
PhysicalInstanceGroupReference,PhysicalInstanceGroup,0,n,A PhysicalInstanceGroup that is a member of this group (nesting structure).,,,,,,,,,,,ddi:reusable:3_3,e,
IsOrdered,boolean,0,1,"If set to ""true"" indicates that the content of the group is ordered as it appears within the XML structure.",,,,,,,,,,,,a,
