Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
CharacterSet,CodeValueType,0,1,"Character set used in the data file (e.g., US ASCII, EBCDIC, UTF-8). This is a required field. The DDI Alliance has provided a controlled vocabulary (CharacterSet) to support this element at http://www.ddialliance.org/controlled-vocabularies.",,,,,,,,,,,ddi:reusable:3_3,e,
ArrayBase,int,0,1,"Sets the array base for any arrays used in the definition (that is, whether the first value is in position 0 or 1, etc.). This may be the data array in a delimited data file or the measure array for measures that are bundled and stored in a single location. Array base is generally set to either 0 or 1. There is no override provided as systems processing a record would use a consistent array base.",,,,,,,,,,,ddi:reusable:3_3,e,
SystemSoftware,SoftwareType,0,1,Specification of a software package used to instantiate a data collection method.,,,,,,,,,,,ddi:physicaldataproduct:3_3,e,
DataItemAddress,DataItemAddressType,0,1,"Provides minimum information on data item address system, such as variable ID or Name, etc.",,,,,,,,,,,ddi:physicaldataproduct:3_3,e,
DefaultNumericDataTypeReference,ManagedNumericRepresentation,0,1,Declares the most common data type used for numeric data.,,,,,,,,,,,ddi:physicaldataproduct:3_3,e,
DefaultTextDataTypeReference,ManagedTextRepresentation,0,1,Declares the most common data type used for textual data.,,,,,,,,,,,ddi:physicaldataproduct:3_3,e,
DefaultDateTimeDataTypeReference,ManagedDateTimeRepresentation,0,1,Declares the most common data type used for date-time data.,,,,,,,,,,,ddi:physicaldataproduct:3_3,e,
CodedDataAsNumeric,ManagedNumericRepresentation,0,1,"Indicates that coded data should be treated as numeric, and defines the numeric type.",,,,,,,,,,,ddi:physicaldataproduct:3_3,e,
CodedDataAsText,ManagedTextRepresentation,0,1,"Indicates that coded data should be treated as text, and defines the text type.",,,,,,,,,,,ddi:physicaldataproduct:3_3,e,
DefaultVariableSchemeReference,VariableScheme,0,1,References a variable scheme for the RecordLayout. This can be overridden by individual data items if they are from a different variable scheme.,,,,,,,,,,,ddi:reusable:3_3,e,
ProprietaryInfo,ProprietaryInfoType,0,1,Contains information proprietary to the software package which produced the data file. This is expressed as a set of key(name)/ value pairs.,,,,,,,,,,,ddi:reusable:3_3,e,
DataItemP,DataItemPType,0,n,"Describes a single data item within the file including its variable reference, information on the data type, and any item specific proprietary information.",,,,,,,,,,,ddi:physicaldataproduct:3_3,e,
