Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Citation,CitationType,0,1,The citation for the ResourcePackage. DDI strongly recommends that at minimum a Title be provided.,,,,,,,,,,,ddi:reusable:3_3,e,
TypeOfResourcePackage,CodeValueType,0,1,A brief description of the resource package type. Supports the use of a controlled vocabulary.,,,,,,,,,,,ddi:group:3_3,e,
Abstract,StructuredStringType,0,1,"An abstract of the ResourcePackage unit describing the nature and scope of the data collection, special characteristics of its content. Note that detailed information on the purpose of the ResourcePackage and structured coverage information are to be entered in Purpose and Coverage. Supports multiple language versions of the same content as well as optional formatting of the content.",,,,,,,,,,,ddi:reusable:3_3,e,
AuthorizationSource,AuthorizationSourceType,0,n,"Identifies the authorizing agency for the ResourcePackage and allows for the full text of the authorization (law, regulation, or other form of authorization). May be used to list authorizations from oversight committees and other regulatory agencies.",,,,,,,,,,,ddi:reusable:3_3,e,
DefiningConceptReference,Concept,0,1,A concept that defines or aids in understanding the content of the resource package.,,,,,,,,,,,ddi:reusable:3_3,e,
UniverseReference,Universe,0,1,"Reference to the universe statement from the universe scheme, describing the ResourcePackage of persons or other elements that are the object of research and to which any analytic results refer. Age, nationality, and residence commonly help to delineate a given universe, but any of a number of factors may be involved, such as sex, race, income, veteran status, criminal convictions, etc. The universe may consist of elements other than persons, such as housing units, court cases, deaths, countries, etc. In general, it should be possible to tell from the description of the universe whether a given individual or element (hypothetical or real) is a member of the population under ResourcePackage. A universe may be described as ""inclusive"" or ""exclusive"". This ResourcePackage level reference is normally to the top level of the UniverseScheme.",,,,,,,,,,,ddi:reusable:3_3,e,
SeriesStatement,SeriesStatementType,0,n,"A ResourcePackage, particularly one in a series, may be the result of two series merging into a single ResourcePackage. The new ResourcePackage belongs to both series. For example, Niger now fields the UNICEF Multiple Indicators Cluster Survey (MICS) and the Demographic and Health Survey as a single merged instrument.",,,,,,,,,,,ddi:reusable:3_3,e,
QualityStatementReference,QualityStatement,0,n,"A reference to a QualityStatementScheme containing statements of quality related to the quality of the ResourcePackage methodology, metadata, or data. Quality statements may be related to external quality standards.",,,,,,,,,,,ddi:reusable:3_3,e,
FundingInformation,FundingInformationType,0,n,"Contains details of the ResourcePackage unit's funding, including information about grants, agencies, etc.",,,,,,,,,,,ddi:reusable:3_3,e,
ProjectBudget,BudgetType,0,n,This describes the overall budget of the ResourcePackage. It can be repeated for distinct budget activities. It contains a structured description and one or more budget documents described by an OtherMaterial type.,,,,,,,,,,,ddi:group:3_3,e,
