Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
SampleFrameName,NameType,0,n,"A name for a sample frame which may be repeated to express differing names for different systems. May be expressed in multiple languages. Repeat the element to express names with different content, for example different names for different systems.",,,,,,,,,,,ddi:datacollection:3_3,e,
Label,LabelType,0,n,"A full display label for the sample frame, repeatable for different context or applications. Supports multiple language versions of the same content as well as optional formatting of the content. Repeat for labels with different content, for example, labels with differing length limitations.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,StructuredStringType,0,1,Full description of the sample frame. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:reusable:3_3,e,
ValidPeriod,DateType,0,1,Period for which the current version is valid.,,,,,,,,,,,ddi:datacollection:3_3,e,
CustodianReference,Agent,0,1,Organization or individual holding the rights to the frame,,true,,,,,,,,,ddi:datacollection:3_3,e,
SampleFrameAccess,AccessType,0,1,"Provides full description of access, forms for access, contact, etc.",,,,,,,,,,,ddi:datacollection:3_3,e,
UniverseReference,Universe,0,n,A reference to the Universe of this sample frame,,,,,,,,,,,ddi:reusable:3_3,e,
UnitsOfFrame,PopulationSizeType,0,1,A sample frame may identify multiple units. One unit should be identified as the primary unit. Additional units are listed as secondary.,,,,,,,,,,,ddi:datacollection:3_3,e,
FrameLimitations,StructuredStringType,0,1,"Description of general limitations of the frame, including  over/under-coverage and update schedules and procedures.",,,,,,,,,,,ddi:datacollection:3_3,e,
AuxiliaryInformation,StructuredStringType,0,1,"Description of information within the frame that could support stratification, including listing of available fields.",,,,,,,,,,,ddi:datacollection:3_3,e,
ReferencePeriod,DateType,0,1,The date/period of reference for this frame,,,,,,,,,,,ddi:datacollection:3_3,e,
UpdateProcedure,StructuredStringType,0,1,Describes how this frame gets updated.,,,,,,,,,,,ddi:datacollection:3_3,e,
SourceFrameReference,SampleFrame,0,n,A reference to a frame that this frame was derived from.,,,,,,,,,,,ddi:datacollection:3_3,e,
