Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
TypeOfSamplingInformationGroup,CodeValueType,0,1,A generic element for specifying a reason for a sampling information group. Note that this element can contain either a term from a controlled vocabulary list or a textual description.,,,,,,,,,,,ddi:datacollection:3_3,e,
SamplingInformationGroupName,NameType,0,n,"A name for the sampling information group. May be expressed in multiple languages. Repeat the element to express names with different content, for example different names for different systems.",,,,,,,,,,,ddi:datacollection:3_3,e,
Label,LabelType,0,n,"A display label for the sampling information group. Supports multiple language versions of the same content as well as optional formatting of the content. Repeat for labels with different content, for example, labels with differing length limitations.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,StructuredStringType,0,1,Additional textual description of the sampling information group. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:reusable:3_3,e,
UniverseReference,Universe,0,n,"Reference to the universe statement describing the persons or other elements that the sampling information objects refer to, and to which any analytic results refer.",,,,,,,,,,,ddi:reusable:3_3,e,
ConceptReference,Concept,0,1,Reference to the concept measured by the sampling information objects in this group.,,,,,,,,,,,ddi:reusable:3_3,e,
SampleFrameReference,SampleFrame,0,1,A sample frame item included in the scheme by reference.,,,,,,,,,,,ddi:datacollection:3_3,e,
SamplingPlanReference,SamplingPlan,0,1,A sampling plan item included in the scheme by reference.,,,,,,,,,,,ddi:datacollection:3_3,e,
SampleReference,Sample,0,1,A sample included in the scheme by reference.,,,,,,,,,,,ddi:datacollection:3_3,e,
SamplingInformationGroupReference,SamplingInformationGroup,0,1,Inclusion of a SamplingInformationGroup by reference.,,,,,,,,,,,ddi:datacollection:3_3,e,
IsOrdered,boolean,0,1,Indicates that the content of the group is ordered as it appears within the XML structure.,,,,,,,,,,,,a,
