Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
ReleaseDate,cogsDate,0,1,Date on which the Statistical Classification was released.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
TerminationDate,cogsDate,0,1,Date on which the Statistical Classification was superseded by a successor version or otherwise ceased to be valid.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
IsCurrent,boolean,0,1,Indicates whether or not the Statistical Classification is currently valid.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
MaintenanceUnitReference,ReferenceType,0,n,"The unit or group of persons within the organization  who are responsible for the Statistical Classification (i.e, for maintaining, updating and changing it). TypeOfObject should be set to Organization or Individual.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
ContactPersonReference,ReferenceType,0,n,Person(s) who may be contacted for additional information about the Statistical Classification. TypeOfObject should be set to Organization or Individual.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
LegalBase,StructuredStringType,0,n,Indicates that the Statistical Classification is covered by a legal act or by some other formal agreement. Supports the use of multiple languages and structured content.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
Publication,PublicationType,0,n,"A list of the publications, including print, PDF, HTML and other electronic formats, in which the Statistical Classification has been published.",,,,,,,,,,,ddi:reusable:3_3,e,
Copyright,InternationalStringType,0,1,Statistical Classifications may have restricted copyrights. Such Statistical Classifications might be excluded from downloading. Notes the copyright statement that should be displayed in official publications to indicate the copyright owner.,,,,,,,,,,,ddi:reusable:3_3,e,
IsDisseminationAllowed,boolean,0,1,Indicates whether or not the Statistical Classification may be published or otherwise disseminated (e.g. electronic dissemination).,,,,,,,,,,,ddi:logicalproduct:3_3,e,
LevelContext,LevelContextType,0,n,Level Context provides the depth of a Level within a Statistical Classification together with its membership. Both depth and membership can be specified per Statistical Classification.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
ClassificationIndexReference,ClassificationIndex,0,n,A Statistical Classification can be associated with one or a number of Classification Indexes in which Classification Index Entries are linked to the appropriate Classification Item. Include here links to any relevant Classification Indexes. TypeOfObject should be set to ClassificationIndex.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
IsVersion,boolean,0,1,Indicates if the Statistical Classification is a version.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
IsUpdate,boolean,0,1,Indicates if the Statistical Classification is an update.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
IsFloating,boolean,0,1,"Indicates if the Statistical Classification is a floating classification. In a floating statistical classification, a validity period should be defined for all Classification Items which will allow the display of the item structure and content at different points of time.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
PredecessorReference,ReferenceType,0,1,"For those Statistical Classifications that are versions or updates, notes the preceding Statistical Classification of which the actual Statistical Classification is the successor. TypeOfObject should be set to StatisticalClassification.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
SuccessorReference,ReferenceType,0,1,Notes the Statistical Classification that superseded the actual Statistical Classification. TypeOfObject should be set to StatisticalClassification.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
DerivedFromReference,ReferenceType,0,1,"A Statistical Classification can be derived from one of the classification versions of another Classification Series. The derived Statistical Classification can either inherit the structure of the classification version from which it is derived, usually adding more detail, or use a large part of its Classification Items, rearranging them in a different structure. Indicates the classification version from which the actual Statistical Classification is derived. TypeOfObject should be set to StatisticalClassification.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
ChangesFromPreceding,StructuredStringType,0,1,A summary description of the nature and content of changes from the preceding version or update. Specific changes are recorded in the Classification Item object under the -Changes from previous version and updates- attribute. Supports the use of multiple languages and structured content.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
UpdatesAllowed,boolean,0,1,Indicates whether or not updates are allowed within the classification version i.e. without leading to a new version.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
PermissibleUpdates,StructuredStringType,0,1,"If Updates are Allowed, Indicate here what structural changes, if any, are permissible within a version. Note whether Classification Items can be added to the structure and whether they can be revalidated or invalidated. Such changes are more likely to be permissible in floating classifications. Also indicate whether changes to such things as Classification Item names and explanatory notes that do not involve structural changes are permissible within a version. Supports the use of multiple languages and structured content.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
Updates,StructuredStringType,0,1,Summary description of changes which have occurred since the most recent classification version or classification update came into force. Supports the use of multiple languages and structured content.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
VariantOfReference,ReferenceType,0,1,"For those Statistical Classifications that are variants, notes the Statistical Classification on which it is based and any subsequent versions of that Statistical Classification to which it is also applicable. TypeOfObject should be set to StatisticalClassification.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
VariantChangesFromBase,StructuredStringType,0,1,"Describes the relationship between the variant and its base Statistical Classification, including regrouping, aggregations added and extensions. Supports the use of multiple languages and structured content.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
VariantPurpose,StructuredStringType,0,1,"If the Statistical Classification is a variant, notes the specific purpose for which it was developed. Supports the use of multiple languages and structured content.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
