Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
TypeOfStudyUnit,CodeValueType,0,1,A brief textual identification of the StudyUnit. Supports the use of an external controlled vocabulary.,,,,,,,,,,,ddi:studyunit:3_3,e,
Citation,CitationType,0,1,The citation for the study. DDI strongly recommends that at minimum a Title be provided.,,,,,,,,,,,ddi:reusable:3_3,e,
Abstract,StructuredStringType,0,1,"An abstract of the study unit describing the nature and scope of the data collection, special characteristics of its content. Note that detailed information on the purpose of the study and structured coverage information are to be entered in Purpose and Coverage. Abstract supports multiple language versions of the same content as well as optional formatting of the content.",,,,,,,,,,,ddi:reusable:3_3,e,
AuthorizationSource,AuthorizationSourceType,0,n,"Identifies the authorizing agency for the study and allows for the full text of the authorization (law, regulation, or other form of authorization). May be used to list authorizations from oversight committees and other regulatory agencies.",,,,,,,,,,,ddi:reusable:3_3,e,
DefiningConceptReference,Concept,0,1,A concept that defines or aids in understanding the content of the study unit.,,,,,,,,,,,ddi:reusable:3_3,e,
UniverseReference,Universe,0,1,"Reference to the universe statement from the universe scheme, describing the group of persons or other elements that are the object of research and to which any analytic results refer. Age, nationality, and residence commonly help to delineate a given universe, but any of a number of factors may be involved, such as sex, race, income, veteran status, criminal convictions, etc. The universe may consist of elements other than persons, such as housing units, court cases, deaths, countries, etc. In general, it should be possible to tell from the description of the universe whether a given individual or element (hypothetical or real) is a member of the population under study. A universe may be described as ""inclusive"" or ""exclusive"". This StudyUnit level reference is normally to the top level of the UniverseScheme.",,,,,,,,,,,ddi:reusable:3_3,e,
SeriesStatement,SeriesStatementType,0,n,"A study, particularly one in a series, may be the result of two series merging into a single study. The new study belongs to both series. For example, Niger now fields the UNICEF Multiple Indicators Cluster Survey (MICS) and the Demographic and Health Survey as a single merged instrument.",,,,,,,,,,,ddi:reusable:3_3,e,
QualityStatementReference,QualityStatement,0,n,"A reference to a Quality Statement pertaining to the quality of the study overall, metadata, or data to which it is associated. Quality statements may be related to external quality standards.",,,,,,,,,,,ddi:reusable:3_3,e,
QualitySchemeReference,QualityScheme,0,n,"A scheme containing statements of quality related to the quality of methodologies, metadata, or data. Quality statements and standards may be related to external quality standards.",,,,,,,,,,,ddi:reusable:3_3,e,
ExPostEvaluation,ExPostEvaluationType,0,n,"An evaluation of the study process, often taking place after the completion of the study. These may include issues such as timing of the study, sequencing issues, cost/budget issues, relevance, institutional or legal arrangements etc. of the study. If the study is part of a series or group (i.e., a single wave in a longitudinal study) this may include evaluation of earlier waves which resulted in changes to the current wave.",,,,,,,,,,,ddi:reusable:3_3,e,
FundingInformation,FundingInformationType,0,n,"Contains details of the study unit's funding, including information about grants, agencies, etc.",,,,,,,,,,,ddi:reusable:3_3,e,
StudyBudget,BudgetType,0,n,This describes the overall budget of the study. It can be repeated for distinct budget activities. It contains a structured description and one or more budget documents described by an OtherMaterial type.,,,,,,,,,,,ddi:studyunit:3_3,e,
Purpose,StructuredStringType,0,1,"The purpose of the study, why the study took place. This should include detailed information on the investigator's primary study questions or hypotheses as well as information on any legal basis for the data collection, such as laws requiring the collection of census data for apportionment purposes. Legal or other authorization should be provided in detail within AuthorizationSource. Supports multiple language versions of the same content as well as optional formatting of the content.",,,,,,,,,,,ddi:reusable:3_3,e,
Coverage,CoverageType,0,1,"Describes the coverage of the study unit. Detailed information on Topical, Temporal, and Spatial Coverage is contained here. Note that Coverage at this level should be inclusive all lower level modules or section. Lower level descriptions serve to constrain coverage within the scope described here.",,,,,,,,,,,ddi:reusable:3_3,e,
AnalysisUnit,CodeValueType,0,n,Allows the use of a controlled vocabulary to list all of the units of analysis used in the study. Should be repeated to describe multiple units of analysis.,,,,,,,,,,,ddi:reusable:3_3,e,
AnalysisUnitsCovered,InternationalStringType,0,1,A narrative of the units of analysis in the study unit. Uses an InternationalString to support multiple languages.,,,,,,,,,,,ddi:reusable:3_3,e,
KindOfData,KindOfDataType,0,n,"Briefly describes the kind of data documented in a study unit. Examples include survey data, census/enumeration data, administrative data, measurement data, assessment data, demographic data, voting data, etc. Supports the use of an external controlled vocabulary.",,,,,,,,,,,ddi:reusable:3_3,e,
