Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Citation,CitationType,0,1,The citation for the sub-group. DDI strongly recommends that at minimum a Title be provided.,,,,,,,,,ddi:reusable:3_2,e,
Abstract,StructuredStringType,0,1,"An abstract of the sub-group unit describing the nature and scope of the data collection, special characteristics of its content. Note that detailed information on the purpose of the sub-group and structured coverage information are to be entered in Purpose and Coverage. Abstract supports multiple language versions of the same content as well as optional formatting of the content.",,,,,,,,,ddi:reusable:3_2,e,
AuthorizationSource,AuthorizationSourceType,0,n,"Identifies the authorizing agency for the sub-group and allows for the full text of the authorization (law, regulation, or other form of authorization). May be used to list authorizations from oversight committees and other regulatory agencies.",,,,,,,,,ddi:reusable:3_2,e,
UniverseReference,Universe,0,1,"Reference to the universe statement from the universe scheme, describing the sub-group of persons or other elements that are the object of research and to which any analytic results refer. Age, nationality, and residence commonly help to delineate a given universe, but any of a number of factors may be involved, such as sex, race, income, veteran status, criminal convictions, etc. The universe may consist of elements other than persons, such as housing units, court cases, deaths, countries, etc. In general, it should be possible to tell from the description of the universe whether a given individual or element (hypothetical or real) is a member of the population under sub-group. A universe may be described as ""inclusive"" or ""exclusive"". This sub-group level reference is normally to the top level of the UniverseScheme.",,,,,,,,,ddi:reusable:3_2,e,
SeriesStatement,SeriesStatementType,0,n,"A sub-group, particularly one in a series, may be the result of two series merging into a single sub-group. The new sub-group belongs to both series. For example, Niger now fields the UNICEF Multiple Indicators Cluster Survey (MICS) and the Demographic and Health Survey as a single merged instrument.",,,,,,,,,ddi:reusable:3_2,e,
QualityStatementReference,QualityStatement,0,n,"A reference to a Quality Statement pertaining to the quality of the subgroup overall, metadata, or data to which it is associated. Quality statements may be related to external quality standards.",,,,,,,,,ddi:reusable:3_2,e,
QualityStatementSchemeReference,QualityStatementScheme,0,n,"A reference to a QualityStatementScheme containing statements of quality related to the quality of the sub-group methodology, metadata, or data. Quality statements may be related to external quality standards.",,,,,,,,,ddi:reusable:3_2,e,
FundingInformation,FundingInformationType,0,n,"Contains details of the sub-group unit's funding, including information about grants, agencies, etc.",,,,,,,,,ddi:reusable:3_2,e,
Purpose,StructuredStringType,0,1,"The purpose of the sub-group, why the sub-group took place. This should include detailed information on the investigator's primary sub-group questions or hypotheses as well as information on any legal basis for the data collection, such as laws requiring the collection of census data for apportionment purposes. Legal or other authorization should be provided in detail within AuthorizationSource. Purpose supports multiple language versions of the same content as well as optional formatting of the content.",,,,,,,,,ddi:reusable:3_2,e,
Coverage,CoverageType,0,1,"Describes the coverage of the sub-group unit. Detailed information on Topical, Temporal, and Spatial Coverage is contained here. Note that Coverage at this level should be inclusive all lower level modules or section. Lower level descriptions serve to constrain coverage within the scope described here.",,,,,,,,,ddi:reusable:3_2,e,
AnalysisUnit,CodeValueType,0,n,Allows the use of a controlled vocabulary to list all of the units of analysis used in the sub-group. Should be repeated to describe multiple units of analysis.,,,,,,,,,ddi:reusable:3_2,e,
AnalysisUnitsCovered,InternationalStringType,0,1,A narrative of the units of analysis in the sub-group unit. Uses an InternationalString to support multiple languages.,,,,,,,,,ddi:reusable:3_2,e,
KindOfData,KindOfDataType,0,n,"Briefly describes the kind of data documented in the logical product(s) of a sub-group unit. Examples include survey data, census/enumeration data, administrative data, measurement data, assessment data, demographic data, voting data, etc. Supports the use of an external controlled vocabulary.",,,,,,,,,ddi:reusable:3_2,e,
OtherMaterial,OtherMaterialType,0,n,"Contains references to other materials relevant to the sub-group unit, whether in DDI form or external. Links can be made from items in this section to any identifiable element in the instance. Best practice is to include OtherMaterial inside the maintainable containing the objects that are related to the OtherMaterial.",,,,,,,,,ddi:reusable:3_2,e,
Embargo,EmbargoType,0,n,Embargo information about the sub-group unit. References to embargo information in this section can be made from individual variables.,,,,,,,,,ddi:reusable:3_2,e,
ConceptualComponentReference,ConceptualComponent,0,n,ConceptualComponent applying to the sub-group as a whole.,,,,,,,,,ddi:conceptualcomponent:3_2,e,
DataCollectionReference,DataCollection,0,n,DataCollection applying to the sub-group as a whole.,,,,,,,,,ddi:datacollection:3_2,e,
LogicalProductReference,BaseLogicalProduct,0,n,LogicalProduct applying to the sub-group as a whole.,,,,,,,,,ddi:logicalproduct:3_2,e,
PhysicalDataProductReference,PhysicalDataProduct,0,n,PhysicalDataProduct applying to the sub-group as a whole.,,,,,,,,,ddi:physicaldataproduct:3_2,e,
PhysicalInstanceReference,PhysicalInstance,0,n,PhysicalInstance applying to the sub-group as a whole.,,,,,,,,,ddi:physicalinstance:3_2,e,
ArchiveReference,Archive,0,n,Archive applying to the sub-group as a whole.,,,,,,,,,ddi:archive:3_2,e,
DDIProfileReference,DDIProfile,0,n,DDIProfile applying to the sub-group as a whole.,,,,,,,,,ddi:ddiprofile:3_2,e,
ComparisonReference,Comparison,0,n,In-line Comparison of differences between related objects in different study units or due to versioning.,,,,,,,,,ddi:comparative:3_2,e,
StudyUnitReference,StudyUnit,0,n,A StudyUnit within the SubGroup provided in-line.,,,,,,,,,ddi:studyunit:3_2,e,
SubGroupReference,SubGroup,0,n,A description of study units comprising a sub-sub-group within the main SubGroup.,,,,,,,,,ddi:group:3_2,e,
Time,string,0,1,"Indicates how all members of the sub-group are related along the dimension of time (for example single occurrence, multiple occurrence, etc.).",,,T0 T1 T2 T3 T4 T5,,,,,,,a,
CaptureInstrument,string,0,1,"Indicates how all members of the sub-group are related in terms of the instruments used to collect data (single, multiple, etc.).",,,I0 I1 I2 I3,,,,,,,a,
Panel,string,0,1,"Indicates how all members of the sub-group are related in terms of type of panel (single, rolling, etc.).",,,P0 P1 P2 P3 P4,,,,,,,a,
